ID,brand,NIC,owner,image
018007186,EK EleniKey,"29, 30, 33",Jean Georges Ghenossis-Vagenas,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45YGLXAVANK6QFDFULMZ2KNVO4N6
018028334,SLMKLINIKEN,"3, 5, 10, 41, 44",Maria Petersson,No Image
018037092,NIKE BY YOU,"35, 42",NIKE Innovate C.V.,No Image
018061156,iuniker,9,"Shenzhen Tongyu Technology Co., Ltd.",No Image
018070778,Ranikeer,"14, 20, 21","Zhengzhou NaTeEr Import and Export Trade Co., Ltd.",No Image
018094169,NIKEVRY,5,Novartis AG,No Image
018126224,"P/S ""Sniķeri"", Jumurdas pag., Ērgļu novads, t. 29135515 Kaziņas Bonijas siers www.bonijassiers.lv",29,Santa Lasmane-Radzvilaviča,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U452FSIDMH6IRJIMAXWZNX4XXT2KK
018183856,Titanikel,7,HYWAY MIT CORPORATION,No Image
018188707,BERLINER PHILHARMONIKER RECORDINGS,"9, 41",Stiftung Berliner Philharmoniker,No Image
018212438,NIKEEYEN,11,Shenzhen KaiYaSheng Technology Co Ltd,No Image
018240898,etniké,30,Fratelli Pagani SpA,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U453T5QFM4PXPYWLM4FDMDUPPRQYY
018275107,YOUNIKE,"11, 20",Tao Yang,No Image
018278539,SANIKEM,5,ITALKEM S.R.L.,No Image
018285590,Weltroniker,35,Weltron Elektronik GmbH,No Image
018326927,CCE Ziviltechniker GmbH,"37, 42",CCE Ziviltechniker GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U454YX7YRFS7KPDMVVHONDKR7Z77Q
018350942,FINIKEM,"1, 2, 3, 5, 42",FGL International S.p.A.,No Image
018466064,LIBERMENTA Kliniken,"5, 35, 44",BühlerHealthCare AG,No Image
018466066,LIBERMENTA Kliniken Leben erleben,"5, 35, 44",BühlerHealthCare AG,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45YJDYYJQR425WGRO37PKS5V4J42
018467456,Nikeiy,"6, 8",Wenzhou Boju International Trade Co. Ltd,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45TS5RUZUEEOCV7KE6KKM2OLDKZ2
018504948,SANIKEM,"1, 5, 16, 40",Kemind S.r.l.,No Image
