ID,brand,NIC,owner,image
1154925,CADOGAN PETROLEUM,"1, 4, 37, 42",Cadogan Petroleum Holdings B.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45IJUJM4XJKPDZEUOJQ5RXMWIFBO
1178867,DANA PETROLEUM,"4, 39, 40",Dana Petroleum Limited,No Image
1180863,PETROLIS,"35, 37, 42",GROUPE CBV INGENIERIE,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45POE4TNOWEKTD323ACFKQ5DFP5Y
1354965,MOL Petrolkémia,"1, 4, 17, 20, 21, 39, 42",MOL Magyar Olaj és Gázipari Nyilvánosan Müködő Részvénytársaság,No Image
1357451,MOL PETROLKÉMIA,"1, 4, 17, 20, 21, 39, 42",MOL Magyar Olaj és Gázipari Nyilvánosan Müködő Részvénytársaság,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45JFJCM7H26Y6D2S7XQWVEHNXEIW
1399393,PETROLAD,4,BRB International B.V.,No Image
1414250,D DEMIRÖREN PETROL,"4, 37",MİLANGAZ LPG DAĞITIM TİCARET VE SANAYİ ANONİM ŞİRKETİ,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45GVH3T7NGXQXU24LISBQ564MYC2
1450377,MAPETROL,"1, 2, 3, 4, 17, 35, 36, 37, 39, 40, 42, 45",SIMPOS trgovina in storitve d.o.o.,No Image
1476982,AMERICAN ASSOCIATION OF PETROLEUM GEOSCIENCES AAPG ADVANCING THE WORLD OF PETROLEUM GEOSCIENCES,35,The American Association of Petroleum Geologists,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45IW2FUA24NRYUBPGB2WE4NXKAUU
1543312,ALMA PETROLI,"4, 19",ALMA PETROLI S.P.A.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45NDICVKUWTPWJPP6OETK3VXLODU
1563431,PETROL Energy for life,"4, 9, 11, 16, 35, 36, 37, 38, 39, 40, 42","Petrol d.d., Ljubljana",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45P4GXVXSWTESE5BDNCUUIZQBQYI
002797629,PETROLOG,39,Hoyer GmbH Internationale Fachspedition,No Image
003253663,PETROLINE,"35, 39",Carmelo José López Martínez,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZLCHF5WB55F55SNTTQLC6RKUQ2FWKQZNMJWAZMWGOMEP6ONHYRXY
